lag,n,n_eff,pearson,spearman,p_bartlett,ci_lo,ci_hi,p_surrogate,sur_q95_abs,q_bh,market
10,186,143.2,-0.025359029514944165,-0.055518931040752666,0.7639243501455941,-0.18861058072113926,0.139256381743108,0.784,0.17900351778863333,0.9339871059062419,br_usd
11,186,142.7,0.0017220373773133865,-0.041815664206556045,0.9837620740650215,-0.1626562006946086,0.1660072682212724,0.99,0.17475372402299386,0.9837620740650215,br_usd
12,186,136.9,-0.03026537021490488,-0.0528110998699234,0.7260716058107921,-0.19702954952320742,0.1382009275526705,0.741,0.17429162986584357,0.9339871059062419,br_usd
13,186,141.3,0.003435416862363466,-0.017564537109129138,0.9677698230157528,-0.1617772377755956,0.16846074101068365,0.967,0.17217279982156858,0.9837620740650215,br_usd
14,186,141.3,0.043852179115876085,-0.008333294481302071,0.6058222424119037,-0.12216869313343139,0.2074858313435877,0.611,0.17166894894242946,0.9339871059062419,br_usd
15,186,141.6,-0.026134541665847926,-0.04571329998274969,0.7583003082599342,-0.19029568605424207,0.1394483666514532,0.746,0.1729739534035281,0.9339871059062419,br_usd
16,186,140.8,-0.11878980000927769,-0.12445300225186372,0.16117640634748387,-0.27873842980329877,0.04757111693829075,0.203,0.17689205359164886,0.9339871059062419,br_usd
17,186,139.8,-0.059396447064406666,-0.044090839157252815,0.48671468298123854,-0.22321703727381031,0.10768722396913118,0.488,0.18012217201909292,0.9339871059062419,br_usd
18,186,143.6,-0.09173656932039978,-0.07847581927278321,0.27527926669215774,-0.2517387857726956,0.0731470692593339,0.297,0.16975757673903782,0.9339871059062419,br_usd
19,186,145.5,-0.07633780174391482,-0.08841199315582617,0.3611358034556653,-0.23610883588115142,0.08745199897989195,0.401,0.17771077009216785,0.9339871059062419,br_usd
20,186,148.5,0.05555420232715796,-0.00024896381632624515,0.5022768220416718,-0.10644695101251939,0.21468223325779212,0.51,0.17200747000198405,0.9339871059062419,br_usd
21,186,150.2,0.07563625120628772,0.02827650835240968,0.35793378856397107,-0.08557692089597523,0.232989940517102,0.421,0.1808913343113516,0.9339871059062419,br_usd
22,186,149.4,0.05201405807667575,0.02302122719580025,0.5287993045717636,-0.10950689798190005,0.2108587505899147,0.592,0.17514109843308326,0.9339871059062419,br_usd
23,186,149.0,0.15518652373032016,0.10263556639268215,0.05870682061260046,-0.005761573925836816,0.308297385776041,0.086,0.17566208672870007,0.7368432246755818,br_usd
24,186,149.1,0.052367788262532494,0.04438735785984363,0.5263786713845842,-0.10930486645072683,0.21134116363034597,0.588,0.17897569775603434,0.9339871059062419,br_usd
0,78,60.8,0.0046133337364867594,0.009269211800857371,0.9720254263260781,-0.24795564306016535,0.2565950873255956,0.963,0.24759280732820924,0.9720254263260781,br_brl
1,77,58.0,0.09805046676958244,0.13239392186760607,0.4657105555623846,-0.16442428361630057,0.3475580132775629,0.47,0.2506385075517351,0.9200555183883702,br_brl
2,76,58.1,0.15480665718243894,0.20062884483937116,0.24670141786793787,-0.1075752147898154,0.3970280604778824,0.261,0.2581110365471108,0.9200555183883702,br_brl
3,75,60.3,0.04843083281596182,0.09951635846372689,0.7135913559659852,-0.20730845376454232,0.29797406764068973,0.736,0.27731907132765704,0.9200555183883702,br_brl
4,74,61.0,0.09973118650967569,0.15503887449092926,0.4460147557579539,-0.15600810859580388,0.3429396914801346,0.479,0.27235173259562157,0.9200555183883702,br_brl
5,73,59.5,0.20772621238660502,0.2553992348512897,0.11321666461549862,-0.05001176639942366,0.4395244270131317,0.135,0.26413958995005654,0.7076041538468664,br_brl
6,72,61.2,0.23419956989862536,0.2355778506656377,0.06879732525790772,-0.018389466246761965,0.45868754775588433,0.101,0.2678919130332953,0.6555306464710401,br_brl
7,71,60.5,0.263780737372894,0.27240107310529843,0.04041984234259477,0.011788941271283639,0.48426856993684464,0.065,0.27521489967143253,0.6555306464710401,br_brl
8,70,57.3,0.23414596343943214,0.159478610795206,0.07866367757652482,-0.027331281823139066,0.46563390318533604,0.091,0.2660805324781603,0.6555306464710401,br_brl
9,69,57.2,0.06667229487507274,0.0027036901717208627,0.6228822131378262,-0.19675339561530744,0.32112023963376957,0.65,0.2736294337803704,0.9200555183883702,br_brl
10,68,57.7,-0.07291158154597685,-0.15448333778676945,0.5890939156735946,-0.3257624889177512,0.1896729618019551,0.633,0.2774096608595399,0.9200555183883702,br_brl
11,67,58.2,-0.01960074136998793,-0.05958177029292043,0.8841851861385246,-0.2760248175629339,0.23942814678810348,0.917,0.277476068953742,0.9210262355609631,br_brl
12,66,51.6,0.10256049758097248,0.04406638137981422,0.47302598069707824,-0.17634345366928297,0.3662203692353727,0.502,0.2922741405210097,0.9200555183883702,br_brl
13,65,57.1,0.056948573802944706,0.022290209790209792,0.6750359418544165,-0.2065029266670343,0.31270090458691113,0.698,0.28607476274283605,0.9200555183883702,br_brl
14,64,60.2,-0.08545451325100427,-0.07458791208791207,0.5170108083617215,-0.33174243086581406,0.1717390468838308,0.583,0.28861873541688376,0.9200555183883702,br_brl
15,63,58.0,-0.037846088788937214,-0.03110599078341014,0.7788946263143799,-0.29332104771188305,0.22267388986235592,0.808,0.30027813366128,0.9200555183883702,br_brl
16,62,57.0,-0.03897446276067671,-0.04233084032132155,0.7744923566957804,-0.296572607506556,0.22391030677618035,0.784,0.29576758953279375,0.9200555183883702,br_brl
17,61,55.4,0.026733439255855296,0.013326282390269697,0.8464510769173006,-0.23918103286419629,0.28891761133393695,0.865,0.2820260831347567,0.9200555183883702,br_brl
18,60,55.0,-0.032607298982603304,-0.06068352320088915,0.8139532576427992,-0.2952368385272525,0.23460370946112874,0.84,0.2985521601935272,0.9200555183883702,br_brl
19,59,57.0,-0.10114949191423801,-0.15552308591466982,0.45582500091947864,-0.35246574518362533,0.16377502378264677,0.513,0.2880810814625515,0.9200555183883702,br_brl
20,58,57.7,-0.04789042915855753,-0.0859761912085884,0.7229783365568401,-0.30309660531097904,0.21372534854195127,0.74,0.30377488283548143,0.9200555183883702,br_brl
21,57,54.7,-0.035503978563756526,-0.055029815919108126,0.7983619305294309,-0.29864133268232534,0.23265011729543453,0.805,0.3101188868601265,0.9200555183883702,br_brl
22,56,53.4,-0.14131434911742818,-0.190704032809296,0.31226994008440156,-0.3954292681035675,0.13289567412546915,0.352,0.2950258271579387,0.9200555183883702,br_brl
23,55,51.9,0.08945475246340963,-0.013780663780663782,0.5303264744621026,-0.18819322281398576,0.35386261856512524,0.545,0.29034033136096227,0.9200555183883702,br_brl
24,54,51.1,0.028325268827553565,-0.11644749380598435,0.8441727690707743,-0.24885332773236635,0.30121541719082484,0.848,0.2944975302363521,0.9200555183883702,br_brl
