lag,spec,var,coef,se_hac,t,p,n,r2
3,oni + lagged Δ + month dummies,oni,-0.01162063517765441,0.009080342847711916,-1.279757314514022,0.2006305004042228,794,0.03685229459763173
3,oni + lagged Δ + month dummies,d3_lag3,0.056565378411841796,0.0616072359838914,0.9181612761629508,0.35853443855940315,794,0.03685229459763173
3,"… + Δlog cert robusta stocks (1993→, same sample)",oni,0.005102880024034764,0.01131417256663256,0.4510166336939243,0.6519775606405154,195,0.06733351621517458
3,"… + Δlog cert robusta stocks (1993→, same sample)",d3_lag3,0.20695067099499448,0.05880756246971991,3.5191166289463816,0.00043298631752424816,195,0.06733351621517458
3,"… + Δlog cert robusta stocks (1993→, same sample)",dlog_rob_stocks_12,-0.001079436076796742,0.027155313085927283,-0.03975045595611781,0.9682920754028826,195,0.06733351621517458
3,"oni alone, 2010-08→ sample",oni,0.0037508084358197245,0.010880593478181712,0.34472461849999503,0.7303014084616553,193,0.06693091564002285
3,"oni alone, 2010-08→ sample",d3_lag3,0.1991224092070878,0.07551485616394438,2.6368640466557833,0.008367636024165327,193,0.06693091564002285
3,… + Δlog cert stocks rob & ara (2010-08→),oni,0.004311061176918166,0.011626958725587815,0.3707814982976311,0.7108002828814428,178,0.12479529776105802
3,… + Δlog cert stocks rob & ara (2010-08→),d3_lag3,0.2239958854593496,0.0686331668962072,3.2636682174100295,0.0010997987421215156,178,0.12479529776105802
3,… + Δlog cert stocks rob & ara (2010-08→),dlog_rob_stocks_12,-0.003559592614740632,0.025638532722839873,-0.1388376102962241,0.8895784730657803,178,0.12479529776105802
3,… + Δlog cert stocks rob & ara (2010-08→),dlog_ara_stocks_12,0.05148400370944861,0.019489623150987092,2.6416110414552114,0.008251275438767367,178,0.12479529776105802
3,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,oni_pos,-0.030146602812493498,0.0153026602268998,-1.970023666832794,0.0488356582252937,794,0.04708645753602758
3,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,oni_neg,0.012242456740702425,0.01213424870620807,1.0089175718344223,0.3130141672319633,794,0.04708645753602758
3,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,d3_lag3,0.04860228182491734,0.059357559881032806,0.818805252815788,0.4128975335226628,794,0.04708645753602758
6,oni + lagged Δ + month dummies,oni,-0.007362993254215165,0.009094592995643606,-0.8096011836639756,0.4181694275852046,794,0.0311636416552441
6,oni + lagged Δ + month dummies,d3_lag3,0.06036499055479167,0.062067151101888623,0.9725755006170219,0.33076432384600196,794,0.0311636416552441
6,"… + Δlog cert robusta stocks (1993→, same sample)",oni,0.009532883962528112,0.01064441841633254,0.8955758398130125,0.3704793440795979,195,0.07244010358756037
6,"… + Δlog cert robusta stocks (1993→, same sample)",d3_lag3,0.20238552256137196,0.05829108467047408,3.471980727507124,0.0005166334244576652,195,0.07244010358756037
6,"… + Δlog cert robusta stocks (1993→, same sample)",dlog_rob_stocks_12,-0.0019410413718812392,0.026992479956416997,-0.07191044968877675,0.942673173932441,195,0.07244010358756037
6,"oni alone, 2010-08→ sample",oni,0.008169863345769917,0.00994007956484327,0.8219112626286845,0.41112740250618307,193,0.07101734608955212
6,"oni alone, 2010-08→ sample",d3_lag3,0.19583178661489703,0.07360715616517982,2.660499288621289,0.00780248920800169,193,0.07101734608955212
6,… + Δlog cert stocks rob & ara (2010-08→),oni,0.006295615806451218,0.010999563074872919,0.572351443743501,0.5670839044105033,178,0.12622893244024602
6,… + Δlog cert stocks rob & ara (2010-08→),d3_lag3,0.2219766512840113,0.06856265105640005,3.237573924926152,0.0012055070253034275,178,0.12622893244024602
6,… + Δlog cert stocks rob & ara (2010-08→),dlog_rob_stocks_12,-0.004032024444038278,0.025779297630724663,-0.1564055197234222,0.8757133866106284,178,0.12622893244024602
6,… + Δlog cert stocks rob & ara (2010-08→),dlog_ara_stocks_12,0.051270545874333176,0.019231044260972375,2.6660302570454797,0.007675278479649454,178,0.12622893244024602
6,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,oni_pos,-0.021192687922125728,0.014766879314874498,-1.435150072688587,0.15124433737756562,794,0.03683419649839814
6,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,oni_neg,0.010357151014888299,0.01219057667693526,0.8496030408868329,0.3955458207448316,794,0.03683419649839814
6,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,d3_lag3,0.05208606360422189,0.05958918362761623,0.8740858731966742,0.38207149014038067,794,0.03683419649839814
7,oni + lagged Δ + month dummies,oni,-0.006427800332357653,0.008385706852703902,-0.7665186066318382,0.4433677849701294,794,0.030266390872331295
7,oni + lagged Δ + month dummies,d3_lag3,0.06188555329478155,0.06227498338863834,0.993746604612859,0.3203462472802491,794,0.030266390872331295
7,"… + Δlog cert robusta stocks (1993→, same sample)",oni,0.007992686858808511,0.009823215607821009,0.8136527974042355,0.41584388243630876,195,0.07034554210970445
7,"… + Δlog cert robusta stocks (1993→, same sample)",d3_lag3,0.20084251995357444,0.05741038109263511,3.498365907543845,0.0004681184167929731,195,0.07034554210970445
