tier,arbitrage,transform,index,lag,n,n_eff,pearson,spearman,p_bartlett,ci_lo,ci_hi,p_surrogate,sur_q95_abs,q_bh_bartlett,q_bh_surrogate
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,-24,34,14.6,0.36005483992172266,0.33177963735640853,0.1997428622093964,-0.19663113766578375,0.7411938993445905,0.334,0.553559475518181,0.42553914122871406,0.6530192307692307
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,-23,35,14.8,0.36890270647458623,0.3418085107330252,0.18422886644551784,-0.18225416758493806,0.7436598035323493,0.294,0.5433784438456799,0.4103279298104715,0.6263478260869565
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,-22,36,15.1,0.4295609701459288,0.3873334692787449,0.10972618815469448,-0.1031892574313079,0.7707912254945208,0.1805,0.536833285739518,0.33603645122375186,0.5404411764705882
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,-21,37,15.6,0.5449370617020336,0.49333096992125897,0.030018577614753905,0.05903556235992718,0.8220794942597234,0.046,0.5359783134773923,0.33603645122375186,0.37566666666666665
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,-20,38,16.1,0.6451209993180018,0.563720937828155,0.0055739876358784635,0.22091293457300665,0.8640669334850443,0.0065,0.546624676243582,0.13656269707902235,0.15925
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,-19,39,15.1,0.673941075046202,0.6131497767705378,0.004507976920457679,0.24819672936436254,0.8814803478332791,0.006,0.5747381125348938,0.13656269707902235,0.15925
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,-18,40,13.7,0.6372743810489194,0.5912651932643227,0.013652159545021636,0.1534732274126143,0.8746293814008393,0.0285,0.5971592010796217,0.22298527256868672,0.37566666666666665
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,-17,41,13.1,0.5172647737217413,0.5175117694872413,0.06849480740670999,-0.043430500115011136,0.8301609615580542,0.1305,0.6056401460220433,0.33603645122375186,0.49188461538461536
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,-16,42,12.8,0.34985134567600523,0.36980306831514104,0.2536917155552274,-0.2561235058533924,0.7584280308479161,0.378,0.6067228920694429,0.47432264847066835,0.6555862068965518
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,-15,43,12.8,0.14727149811330628,0.16017218125596888,0.6424270075855787,-0.44454893921590627,0.6495885266134511,0.745,0.6089153955383445,0.7677786188217891,0.8691666666666668
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,-14,44,12.5,0.004656883794813902,-0.041654920064269255,0.9885533652545118,-0.5591221758593963,0.5654909917648727,0.9915,0.6144834740897266,0.9908356906507507,0.9950000000000001
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,-13,45,12.7,-0.08065230920985561,-0.17380419178430098,0.800829583828796,-0.6099283465420173,0.4983822842213029,0.845,0.6168811034489107,0.8918329456275228,0.9261
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,-12,46,12.8,-0.16172218068524893,-0.2712638027177269,0.6088888469684377,-0.6573573047882197,0.4315797978594328,0.7,0.6196015725598606,0.7518243009752281,0.8443536585365853
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,-11,47,12.9,-0.2298963192329567,-0.33502949223691286,0.4607437544780546,-0.6942292922344924,0.3695603970543189,0.5935,0.6229680567043747,0.6441916898035948,0.7917368421052631
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,-10,48,12.8,-0.3201471883252187,-0.39908804925237934,0.2997024870331515,-0.7437916911189466,0.2869973196533449,0.4365,0.624443972475929,0.48951406215414744,0.68446875
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,-9,49,12.9,-0.3779747459865002,-0.42147158092722176,0.2104637314703237,-0.7699231681499019,0.22104033859500408,0.3465,0.6219030181121513,0.4296967850852442,0.6530192307692307
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,-8,50,13.0,-0.4333487282737218,-0.44287566837329695,0.14226984692837585,-0.7946024314183612,0.1545231873996833,0.2605,0.621377123791362,0.3673689552350872,0.6078333333333333
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,-7,51,13.1,-0.4437235005413918,-0.440039824410635,0.12987923045019878,-0.7983168355820329,0.13932669201297163,0.24,0.6061128836416757,0.3673689552350872,0.6078333333333333
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,-6,52,13.2,-0.47611380638845163,-0.4550461082160597,0.09784702279918478,-0.8114310959025881,0.09502330139214514,0.1795,0.6001848766645256,0.33603645122375186,0.5404411764705882
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,-5,53,13.2,-0.4664149200273007,-0.43710184804641994,0.10648257877361811,-0.8073045053040266,0.10786172220743881,0.1875,0.5986236381216039,0.33603645122375186,0.5404411764705882
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,-4,54,13.2,-0.4068664259704938,-0.38809896045395514,0.1667953102850852,-0.7794864812406465,0.17842948761349434,0.2595,0.5938079242294454,0.3891890573318655,0.6078333333333333
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,-3,55,13.5,-0.32505031870456613,-0.3219626602795912,0.2752623954093161,-0.7366920450447788,0.2623579854400108,0.388,0.5934858393423909,0.47432264847066835,0.6555862068965518
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,-2,56,13.5,-0.3207198816431958,-0.31855080010337455,0.2807215674622323,-0.7336148863175351,0.2651240229009586,0.386,0.5850670367001293,0.47432264847066835,0.6555862068965518
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,-1,57,13.8,-0.2848317232236954,-0.26139660091968764,0.33673652906065943,-0.7116943651738735,0.2956477848793713,0.447,0.582474816868711,0.5322609652894293,0.68446875
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,0,58,14.3,-0.20997938868184152,-0.1751957306028756,0.47328369046794716,-0.6616257402540469,0.3534668158414093,0.5735,0.5676721364034707,0.6441916898035948,0.7917368421052631
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,1,58,13.8,-0.1948295683778461,-0.14711130315527896,0.5173882859294514,-0.6611520127565175,0.3800795713977716,0.61,0.5666265514850535,0.6851898921768411,0.7917368421052631
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,2,58,13.2,-0.18639970097962746,-0.140435612485121,0.5476973266584242,-0.6659716387465489,0.4021906878990254,0.614,0.5679749934671223,0.7062412896384943,0.7917368421052631
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,3,58,12.6,-0.13658643468332843,-0.07060235063600276,0.669605202699072,-0.6462317670037885,0.45731438703800875,0.7065,0.5642703072098914,0.781206069815584,0.8443536585365853
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,4,58,12.4,-0.07298154898704827,0.043898912655013785,0.8227571630413055,-0.6124527519786586,0.5128681798648651,0.8505,0.574864590073404,0.8958911330894215,0.9261
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,5,58,12.3,-0.024401087392304146,0.14554012317510176,0.9407751655557912,-0.5838349679702717,0.5507445382369092,0.955,0.5776675859922269,0.9808081513241228,0.9950000000000001
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,6,58,12.3,0.003774245649783233,0.2099061698711356,0.9908356906507507,-0.5650867481294551,0.5702029360459429,0.995,0.5748092061457217,0.9908356906507507,0.9950000000000001
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,7,58,12.3,0.046672545890354404,0.2732544750762969,0.8867941078067068,-0.5344367769718068,0.5978203071730707,0.89,0.5660570343597743,0.9446285061419267,0.9480434782608695
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,8,58,12.3,0.10316621660129795,0.2810952182489471,0.7521397815951099,-0.492237953748544,0.6328038067395781,0.779,0.5680665498991615,0.8570895185618693,0.8876976744186046
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,9,58,12.4,0.16352444560695692,0.28519128394024684,0.6137341232450841,-0.44281701362727244,0.6672342003963561,0.659,0.5721796897980765,0.7518243009752281,0.8279743589743591
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,10,58,12.4,0.23791121559122086,0.27806664474023723,0.4581811177849717,-0.3784902642816988,0.7081254999385332,0.5195,0.5706274560051547,0.6441916898035948,0.7486911764705881
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,11,58,12.4,0.29664199489683957,0.2513960514851124,0.34797689212911465,-0.32109462615509937,0.7372985444559117,0.4175,0.5644704577621538,0.5328396160727068,0.6819166666666666
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,12,58,12.5,0.37515671749765067,0.28994693295749596,0.22400804587024492,-0.236769555442688,0.773976967431875,0.2815,0.5619250584503156,0.43905576990568007,0.6263478260869565
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,13,58,12.5,0.44228720424946233,0.3372815693363191,0.14244918672380935,-0.15842287845289213,0.8040305398768819,0.182,0.5700004097733111,0.3673689552350872,0.5404411764705882
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,14,58,12.5,0.49318651395175056,0.3765690421122454,0.09667976339099038,-0.09688449358404169,0.8267294185355323,0.123,0.5681963238159838,0.33603645122375186,0.49188461538461536
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,15,58,12.4,0.5203265947289226,0.381282021241518,0.07734714128393061,-0.0631722218578684,0.8387170230438133,0.0915,0.5608325519087096,0.33603645122375186,0.44835
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,16,58,12.4,0.5397923199667468,0.4073960176184929,0.06452169724919243,-0.0363884095001726,0.8466292296493692,0.0645,0.5603574860857577,0.33603645122375186,0.3950625
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,17,58,12.3,0.5851686424411573,0.47837189834994304,0.04041123800620938,0.02926896189925606,0.8646031430512794,0.0395,0.5675843373791387,0.33603645122375186,0.37566666666666665
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,18,58,12.3,0.5805827671407137,0.4682265053880951,0.043156739454730086,0.02039739033007542,0.8633317463049458,0.045,0.5674973917292218,0.33603645122375186,0.37566666666666665
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,19,58,12.5,0.5516164820483657,0.46037411324899014,0.05632932284072334,-0.01675476974890844,0.8505560349905544,0.06,0.5662006991517508,0.33603645122375186,0.3950625
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,20,58,12.5,0.5226788388380802,0.4839712092702395,0.07336418468222483,-0.05483242968279469,0.8381505699064979,0.085,0.5627604457499181,0.33603645122375186,0.44835
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,21,58,12.5,0.4959298261070668,0.5217204098153151,0.09349015866614474,-0.09142666148806643,0.8272845563009299,0.114,0.5699668251526478,0.33603645122375186,0.49188461538461536
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,22,58,12.5,0.4263165495048096,0.48209451714860174,0.15964078910886048,-0.1774099446882509,0.7969073355343902,0.203,0.5737512583448477,0.3891890573318655,0.5526111111111112
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,23,58,12.5,0.33976603547015327,0.4198560226883834,0.2755422265706571,-0.2749277388015539,0.7572952616546565,0.335,0.5704443444897206,0.47432264847066835,0.6530192307692307
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,24,58,12.5,0.25786491930694594,0.3288210720666404,0.4171884808447577,-0.3570750127170199,0.7168667060677915,0.4945,0.5642332450146111,0.6194616836785796,0.7342575757575758
tier1,"ICE futures premium (2021→, repo)",diff3,−SOI,-24,33,19.8,0.2719106235295673,0.353082483020939,0.2522980911893953,-0.19605473940404156,0.6389977017665023,0.3895,0.505894527858986,0.49450425873121473,0.68845
